q,I_total,P_single,S_eff
1.000000000000000021e-02,3.815857590055410285e+06,3.815857590055410285e+06,1.000000000000000000e+00
2.502512562814070488e-02,3.614725395376449451e+06,3.614725395376448520e+06,1.000000000000000222e+00
4.005025125628140781e-02,3.268680673479416873e+06,3.268680673479417339e+06,9.999999999999998890e-01
5.507537688442211421e-02,2.821898677421432920e+06,2.821898677421432920e+06,1.000000000000000000e+00
7.010050251256282061e-02,2.327378661836911924e+06,2.327378661836911459e+06,1.000000000000000222e+00
8.512562814070351314e-02,1.837245029233210953e+06,1.837245029233210953e+06,1.000000000000000000e+00
1.001507537688442195e-01,1.394196733144689817e+06,1.394196733144689817e+06,1.000000000000000000e+00
1.151758793969849259e-01,1.025908170949163265e+06,1.025908170949163265e+06,1.000000000000000000e+00
1.302010050251256323e-01,7.432796855985197471e+05,7.432796855985197471e+05,1.000000000000000000e+00
1.452261306532663387e-01,5.423748426730256760e+05,5.423748426730256760e+05,1.000000000000000000e+00
1.602512562814070451e-01,4.089823326079589315e+05,4.089823326079589315e+05,1.000000000000000000e+00
1.752763819095477515e-01,3.242436577546836343e+05,3.242436577546836343e+05,1.000000000000000000e+00
1.903015075376884579e-01,2.697885340665646945e+05,2.697885340665646945e+05,1.000000000000000000e+00
2.053266331658291644e-01,2.312507878557426448e+05,2.312507878557426156e+05,1.000000000000000222e+00
2.203517587939698708e-01,1.997076999089274323e+05,1.997076999089274905e+05,9.999999999999996669e-01
2.353768844221105772e-01,1.712568245959900378e+05,1.712568245959900378e+05,1.000000000000000000e+00
2.504020100502512558e-01,1.454133845439032302e+05,1.454133845439032302e+05,1.000000000000000000e+00
2.654271356783919900e-01,1.231722641856129485e+05,1.231722641856129485e+05,1.000000000000000000e+00
2.804522613065326686e-01,1.054426200013843772e+05,1.054426200013843772e+05,1.000000000000000000e+00
2.954773869346734028e-01,9.223649311378052516e+04,9.223649311378052516e+04,1.000000000000000000e+00
3.105025125628140814e-01,8.262508921263684169e+04,8.262508921263684169e+04,1.000000000000000000e+00
3.255276381909548156e-01,7.520136303041916108e+04,7.520136303041916108e+04,1.000000000000000000e+00
3.405527638190954942e-01,6.867925953777068935e+04,6.867925953777068935e+04,1.000000000000000000e+00
3.555778894472362284e-01,6.231750660161434644e+04,6.231750660161433916e+04,1.000000000000000222e+00
3.706030150753769070e-01,5.601803641465612600e+04,5.601803641465612600e+04,1.000000000000000000e+00
3.856281407035176412e-01,5.012890281174999836e+04,5.012890281174999836e+04,1.000000000000000000e+00
4.006532663316583198e-01,4.510407633681665902e+04,4.510407633681665902e+04,1.000000000000000000e+00
4.156783919597990540e-01,4.120146725097348099e+04,4.120146725097348099e+04,1.000000000000000000e+00
4.307035175879397326e-01,3.834489561422509723e+04,3.834489561422509723e+04,1.000000000000000000e+00
4.457286432160804668e-01,3.617717985090203729e+04,3.617717985090203729e+04,1.000000000000000000e+00
4.607537688442211454e-01,3.424111634731906815e+04,3.424111634731906815e+04,1.000000000000000000e+00
4.757788944723618796e-01,3.218038037099405119e+04,3.218038037099405119e+04,1.000000000000000000e+00
4.908040201005025582e-01,2.986403220313821294e+04,2.986403220313821294e+04,1.000000000000000000e+00
5.058291457286432369e-01,2.739068289276197174e+04,2.739068289276197174e+04,1.000000000000000000e+00
5.208542713567839710e-01,2.499085795259565566e+04,2.499085795259565566e+04,1.000000000000000000e+00
5.358793969849247052e-01,2.288908447424368933e+04,2.288908447424368933e+04,1.000000000000000000e+00
5.509045226130653283e-01,2.119490079676307141e+04,2.119490079676307141e+04,1.000000000000000000e+00
5.659296482412060625e-01,1.986697551532405487e+04,1.986697551532405487e+04,1.000000000000000000e+00
5.809547738693467966e-01,1.875366669341317902e+04,1.875366669341317902e+04,1.000000000000000000e+00
5.959798994974875308e-01,1.767785443076781303e+04,1.767785443076781303e+04,1.000000000000000000e+00
6.110050251256281539e-01,1.651905692069173892e+04,1.651905692069174256e+04,9.999999999999997780e-01
6.260301507537688881e-01,1.525511927799146542e+04,1.525511927799146542e+04,1.000000000000000000e+00
6.410552763819096223e-01,1.395097956100768351e+04,1.395097956100767988e+04,1.000000000000000222e+00
6.560804020100503564e-01,1.270893371179607493e+04,1.270893371179607311e+04,1.000000000000000222e+00
6.711055276381909795e-01,1.161061744950919820e+04,1.161061744950919820e+04,1.000000000000000000e+00
6.861306532663317137e-01,1.067991496687274594e+04,1.067991496687274957e+04,9.999999999999996669e-01
7.011557788944724479e-01,9.881241893490787334e+03,9.881241893490787334e+03,1.000000000000000000e+00
7.161809045226131820e-01,9.148220317598465044e+03,9.148220317598466863e+03,9.999999999999997780e-01
7.312060301507538052e-01,8.423649063289003607e+03,8.423649063289003607e+03,1.000000000000000000e+00
7.462311557788945393e-01,7.688900249931645703e+03,7.688900249931646613e+03,9.999999999999998890e-01
7.612562814070352735e-01,6.969193788694204159e+03,6.969193788694204159e+03,1.000000000000000000e+00
7.762814070351758966e-01,6.315055920892163158e+03,6.315055920892163158e+03,1.000000000000000000e+00
7.913065326633166308e-01,5.772159296585409720e+03,5.772159296585409720e+03,1.000000000000000000e+00
8.063316582914573649e-01,5.356100005705362491e+03,5.356100005705362491e+03,1.000000000000000000e+00
8.213567839195980991e-01,5.044297093803407734e+03,5.044297093803408643e+03,9.999999999999997780e-01
8.363819095477387222e-01,4.787319291132696890e+03,4.787319291132697799e+03,9.999999999999997780e-01
8.514070351758794564e-01,4.532076391681007408e+03,4.532076391681007408e+03,1.000000000000000000e+00
8.664321608040201905e-01,4.244318927364774936e+03,4.244318927364774936e+03,1.000000000000000000e+00
8.814572864321609247e-01,3.919665531255988753e+03,3.919665531255987389e+03,1.000000000000000444e+00
8.964824120603015478e-01,3.579267231110509783e+03,3.579267231110510238e+03,9.999999999999998890e-01
9.115075376884422820e-01,3.254231895370840903e+03,3.254231895370840903e+03,1.000000000000000000e+00
9.265326633165830161e-01,2.967972135463797713e+03,2.967972135463797713e+03,1.000000000000000000e+00
9.415577889447237503e-01,2.725535514400540251e+03,2.725535514400540251e+03,1.000000000000000000e+00
9.565829145728643734e-01,2.514349613970297469e+03,2.514349613970297469e+03,1.000000000000000000e+00
9.716080402010051076e-01,2.314476323474285891e+03,2.314476323474286346e+03,9.999999999999997780e-01
9.866331658291458417e-01,2.111790496971595076e+03,2.111790496971594621e+03,1.000000000000000222e+00
1.001658291457286465e+00,1.906670871972462692e+03,1.906670871972462692e+03,1.000000000000000000e+00
1.016683417085427310e+00,1.713852126473752833e+03,1.713852126473752833e+03,1.000000000000000000e+00
1.031708542713567933e+00,1.554107872785522886e+03,1.554107872785522886e+03,1.000000000000000000e+00
