x,y,z,nx,ny,nz
1.967762625993362491e+01,3.414455688093347874e+01,2.535385947863461098e+01,4.329734681087087922e-01,9.483022902455878755e-02,8.964045981447587019e-01
2.763327139117341957e+01,6.961625055374764770e+01,1.238416741642266850e+01,-1.183535505419369216e-03,2.737284210206456514e-01,9.618062958658835093e-01
3.986873941808664057e+01,1.235117634065603482e+02,1.201517164734180199e+01,8.745352632996883282e-04,-9.945232274472143308e-02,9.950419441846424240e-01
2.034222646039912519e+01,1.802440777612677323e+02,1.991861788454073690e+01,-6.910685752758080440e-03,-3.452535062686647171e-02,9.993799290482665576e-01
6.310286275406499357e+01,2.919403651060892102e+01,1.314923377431834695e+01,-4.115151417910823395e-01,1.625842234543936060e-01,8.967840645096214480e-01
7.676151024914969412e+01,9.638699698342206545e+01,3.941370894709921302e-01,2.502939788589442771e-01,-1.430854681259901007e-01,9.575382357671806677e-01
5.471152253291604239e+01,1.245026384917046585e+02,1.789479875206762927e+01,2.391837233947526620e-01,3.905309805335716589e-01,8.889750838490972917e-01
7.275113873553449650e+01,1.835526776447703412e+02,4.708861899768062464e+00,-1.190061185824240614e-02,-2.097442081673750458e-01,9.776838663779005012e-01
1.268854821162388191e+02,2.109657216502258237e+01,2.056246671287994232e+01,-2.105773316951889129e-01,-1.255903899374343213e-01,9.694762716691408544e-01
1.170686498285297859e+02,8.768718037825826173e+01,2.469519835388345541e+01,1.754336585923186864e-01,1.547313663608754497e-01,9.722557460334241286e-01
1.120655640010982950e+02,1.164790910915418181e+02,1.471616513764137579e+01,-2.221131565382721829e-01,2.202776634920560750e-01,9.498123481283476943e-01
1.245728912105458051e+02,1.780355912955350561e+02,1.922155524411240890e+02,4.050173875549412106e-01,3.088885335522275066e-01,8.605514450723588116e-01
1.667172753129300418e+02,2.142019526039417343e+01,1.363860874357805564e+01,-6.722126295638883309e-02,-2.637729845505737414e-01,9.622396346159468594e-01
1.787506241692995843e+02,8.273448874689850641e+01,2.668342989568450729e-01,-2.041705549485766658e-01,-5.594895738937316620e-02,9.773352028127464397e-01
1.764524273634409042e+02,1.271773672379322306e+02,1.969552505306188266e+02,1.631739927247620736e-01,-1.172665789423651822e-01,9.796033878868596334e-01
1.646784402114101340e+02,1.672237383944603835e+02,5.243037529879105207e+00,9.225509539074340515e-03,2.933085432217606425e-01,9.559733199440626494e-01
2.443875007947695366e+01,1.080428672989943095e+01,2.172468704525030248e+01,3.379162458623789778e-02,-8.983448501127465347e-02,9.953832886926432533e-01
3.318305745674932439e+01,6.334841336169237991e+01,2.707510666570573221e+01,2.198499853761429756e-01,-1.321880137233047148e-01,9.665362450296404173e-01
2.702897279874684955e+01,1.328884727519742341e+02,3.594300083922192357e+01,4.290988751099635290e-01,-5.511515512251605881e-02,9.015744423247505912e-01
3.335934968123184774e+01,1.735969361147051870e+02,2.290072364122592319e+01,-4.528016836622276303e-02,5.083504019447034061e-02,9.976800614621669228e-01
8.496194059884146554e+01,2.566242820638465361e+01,3.820733028023482802e+01,-2.168431550952434061e-01,-1.906412312701087908e-01,9.574105530158716348e-01
7.760966494539793814e+01,8.451633903319127228e+01,2.392197855084479841e+01,-1.889961379137176933e-02,-5.932595518731706430e-02,9.980597355056708420e-01
7.606800199965287845e+01,1.091544514991617518e+02,1.353910909726338829e+01,-1.209626561310813836e-01,-2.889748497388144877e-01,9.496639258380532578e-01
