x,y,z,nx,ny,nz
5.000000000000000000e+02,5.000000000000000000e+02,5.000000000000000000e+02,-2.026337247080393089e-01,-2.386813434191262153e-03,-9.792516922286000902e-01
1.338295289592765869e+02,1.421110854545385394e+02,2.185586756260782124e+02,1.177090321619461179e-02,9.865585533877890834e-01,-1.629836389790950690e-01
3.454986400504000699e+02,1.667763465323214405e+02,8.785590855326590827e+02,4.191495041114787767e-01,1.041127365840161939e-01,9.019280632534329989e-01
5.727598155694092839e+02,8.980071182251496111e+02,6.668989729196366625e+02,-2.931252554650304321e-01,-9.512748134274089384e-01,9.567556609296312686e-02
6.944386777644582480e+02,8.248704645005481098e+02,4.656684753672658417e+02,1.567025320631236784e-01,-4.463152416059412708e-01,8.810488190533121156e-01
1.696362575837671045e+02,5.210847114597972904e+02,9.455174169762407246e+02,6.120825529202438275e-01,-7.320557000130782921e-01,2.990809263209524005e-01
1.855416869344607278e+02,2.431156753134085022e+02,8.734008431011247922e+02,3.030342781497498070e-02,-5.820968985359228354e-01,8.125545538470153595e-01
4.635347139840575323e+02,6.105377408481293742e+02,4.962817176711869820e+02,-9.182428555299878559e-01,3.935600106079099048e-01,-4.405197292330620407e-02
1.873586470614215784e+02,6.876740931926751728e+02,7.035291738013880831e+02,5.100521338111727587e-01,1.290984041312925878e-01,8.504001545422148478e-01
6.380539847173849921e+02,4.616976624706969687e+02,5.305942448539302347e+01,1.865354833934610435e-01,3.369530258511042597e-01,-9.228581536752833436e-01
1.626060465600808129e+02,1.387386997795518937e+02,3.529169532326819194e+02,-3.223568515885077979e-01,-9.461103892587514608e-01,-3.100308969439580578e-02
2.667743770719412737e+02,9.094762092582502646e+02,2.286694996967686322e+01,3.013448689359704558e-01,9.202249573768445101e-01,-2.497544750084521870e-01
4.441122950440465047e+02,4.981396103617926769e+02,4.143463247996216410e+02,1.707504261192391015e-01,8.026491593422627746e-01,-5.714880742301251537e-01
7.290856206264126058e+02,4.159186670147921632e+02,5.838981780137994519e+02,-9.048942002346876956e-01,4.254858284548773684e-01,-1.132678973458656202e-02
5.562164868036488770e+02,3.026306416600065177e+02,9.707981948134560071e+02,5.371812182997051099e-01,6.392104397563754814e-01,-5.503147757533918272e-01
4.919289392847462636e+02,1.831527336532204799e+02,1.093105151646996944e+02,-2.436562224484362937e-01,9.666264824482619922e-01,7.915104984684774581e-02
4.906015481743156670e+02,6.320916847324551782e+02,3.796921692694821360e+01,8.653645913278230628e-01,5.011427715619001244e-01,2.158408835184477681e-04
7.580360249227713894e+02,2.622732208029519256e+02,1.008585910452216581e+02,-5.478679264452011033e-01,-6.034665590380826339e-02,8.343854123208669371e-01
1.125431140433565957e+02,8.416411484140770654e+02,5.460747365304214327e+02,-7.805615062922844904e-01,-4.028292948294480702e-01,-4.779668337049441385e-01
7.916231853067415614e+02,4.930907184029588279e+02,9.651581834600465299e+02,8.193528471266628976e-01,-5.718484165829348376e-01,4.062388899430668943e-02
5.214873031839404121e+02,5.057456833900042739e+02,8.130714807282639640e+02,2.685574919018088313e-01,-4.463453622256866593e-01,-8.536115575383399490e-01
4.063212708530659256e+02,3.645124832216717436e+01,7.672541069525758530e+02,8.152291239768379993e-01,-4.553473131392719586e-01,3.578551380612038368e-01
9.677189597257390687e+02,3.083843510756831847e+02,3.388899661153522516e+02,-2.668278495675135420e-01,-8.459179955923893379e-01,4.617636228939334675e-01
8.939427440668856661e+02,7.166490873934734509e+02,6.821527701714027216e+02,-4.453871801813459319e-01,-5.750770300845389205e-01,6.862336841042238067e-01
8.287812022495744486e+02,2.447195476763491797e+02,7.037806929924809083e+02,-7.305518789805164337e-01,6.790744353858664262e-01,7.177648168727435163e-02
8.858316044330558725e+02,8.023349348478680554e+01,8.035886470755149276e+02,-9.038693449286671067e-01,2.199425543237564229e-01,3.669407037870884292e-01
2.826662622956666269e+02,8.615747749365013988e+02,1.784795558927365562e+02,-9.615521037175417396e-01,2.236119787200559761e-01,1.594215631878925787e-01
4.761244544112489621e+02,9.525111535091707538e+02,8.532576304162075758e+02,5.961831397634056451e-01,9.661267941569885720e-02,7.970142119422758409e-01
4.768981501736271298e+02,7.347218410133316411e+02,3.563094773249577543e+02,9.514613382542476128e-01,2.794713558598477809e-01,1.289072653549623582e-01
6.812063808078305556e+02,3.956374751104815459e+02,1.366730103382248842e+02,-7.140854819661646147e-02,-9.833532379300595760e-01,-1.670844956808359427e-01
8.834332260849690783e+02,5.787496113205872916e+02,1.779704602919232173e+02,9.272287304915250994e-01,3.264557988885471440e-01,1.835033861352843854e-01
2.010376614787210485e+02,9.046753424720536714e+02,4.735678802411608217e+02,6.517247179358764964e-01,7.494247716463391384e-01,-1.166936316781457261e-01
7.066177648597786174e+02,7.448136012574598226e+02,7.145951590411773395e+02,-3.512099884261600802e-01,-6.055976446212709696e-01,-7.140749518494997616e-01
3.242495886252682880e+01,1.848143748305152201e+02,7.623520843883806037e+02,-7.255196939523370081e-02,3.939440465266648150e-01,-9.162665005024848153e-01
3.690399964680220819e+02,8.989918753530204185e+02,2.890978312524975422e+02,7.505472735530966943e-01,6.159455441070980086e-01,-2.393530381186421696e-01
9.334854421889589275e+02,1.831071892507702898e+02,3.111985668460468446e+02,8.236101130490547373e-01,4.467441893734010461e-01,3.494080865469862407e-01
3.265756188032755745e+02,3.866121943167163408e+02,5.489673450995690018e+02,-4.797427314966837830e-01,8.709994692944676986e-01,1.058623448864444289e-01
2.518568590408137879e+02,2.026351323055134515e+02,7.775255130659097631e+02,-6.608051812308601836e-01,2.091966924460748056e-01,-7.208143008626233250e-01
8.162859015114210024e+02,8.434899287765961162e+02,1.147750573517243282e+02,7.949073022073875894e-01,-4.156810288865434022e-01,4.419634183065355160e-01
7.771128057711192696e+02,9.238857046105040354e+02,4.951409791498884161e+00,8.672351993632848588e-01,2.025601685637247185e-01,-4.548323725250424943e-01
1.120784633156490884e+01,4.889953333943175551e+01,6.493426065197037360e+02,5.066563917357732594e-01,-7.514973860859155419e-01,-4.225529309084521956e-01
9.213069949005608805e+02,1.313866970404722281e+02,5.490049882670939496e+02,3.149918855365459458e-01,-8.554246986981145495e-01,-4.111309972543684133e-01
1.210294006552300488e+02,4.555975363801919684e+02,2.498816664468327531e+02,-7.699490626614151345e-02,-8.680522346859631533e-01,4.904662090967875088e-01
2.991969552919693243e+00,9.180064177167508888e+02,3.228750608253989753e+02,-1.197402260341651481e-01,9.054370800771982530e-01,-4.072419088092045225e-01
6.732887760038996703e+02,5.505337948365760212e+02,6.827730261860122027e+02,-7.395095834732242635e-01,1.676527371559422275e-01,-6.519341497999465718e-01
2.741126823211082097e+01,2.182383382409297496e+02,9.334088197823857627e+02,9.398191124429531307e-01,-1.267595999051203404e-01,3.172885748318615140e-01
7.623903796018435060e+02,5.996651598099517742e+02,6.020923929290664773e+02,1.101660876806660611e-01,6.242912072143014246e-01,-7.733847177957720032e-01
5.053028052125812906e+02,3.450991737217302671e+02,1.967205466738666360e+02,-9.547945803513961938e-01,-1.598878025727613617e-01,-2.506056661770741378e-01
5.899713339754516710e+02,6.390909929232969944e+02,6.037619111162790659e+02,-4.422379879615032094e-01,8.605186473055322915e-01,-2.528501920964634220e-01
7.496634986160405560e+02,9.191908277107188496e+02,8.276691656037146458e+02,4.503704213231314313e-01,-8.863520552635518746e-01,1.074547240809016341e-01
8.251897565302364228e+02,3.149630807150318788e+02,3.997474034828635467e+02,-5.338163787132496271e-03,2.382964387741515477e-01,9.711777959132605886e-01
4.060595756382930972e+02,3.152299359637879093e+02,7.705159221072094624e+02,-2.469157636767815300e-01,-9.638344041438106080e-01,-1.002788464066943774e-01
8.238369123439279065e+02,7.167741178211048236e+02,4.992413226874646739e+02,7.111847432886583276e-01,-3.926936402307170670e-01,5.831020200923620056e-01
2.978368339072496838e+02,7.173350651198127252e+02,6.150567977770009520e+02,-6.032712711533260164e-01,4.123810750505507161e-01,6.826460446975448626e-01
9.376458450026892422e+01,2.186436554379988024e+02,5.293424910918135993e+02,-2.295384827912127779e-01,-9.715858302507639488e-01,5.773265431141916260e-02
1.160718311132137330e+02,1.872516154987172854e+02,4.337191085120555272e+02,5.550309950667493553e-01,5.444319948447119417e-01,-6.289152546286517209e-01
9.101677556132594873e+02,6.091199147307202111e+01,4.182442409571185493e+01,-7.927225321389648194e-01,-4.334938142357913637e-01,-4.285721643533247360e-01
