x,y,z,nx,ny,nz
1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+03,9.922986484658827266e-02,-5.216270423488780228e-01,-8.473834212520856557e-01
1.446930355661882459e+03,1.955979023993205374e+03,1.076991740820867335e+03,8.992625104860517693e-01,4.374036070713989144e-01,2.240927319875796186e-03
9.997650016511199738e+02,1.358459992241880855e+03,1.607478072208750973e+03,8.890718814961628969e-01,3.909618068674442504e-01,-2.381177337029232177e-01
1.819187055439227379e+03,4.267707071598310336e+02,9.042479236353661918e+02,5.000247401292899907e-01,7.887162730944553835e-02,8.624120393780434490e-01
1.900259000827291175e+03,4.606057580419296187e+02,1.096979838472060919e+03,3.850913879613844237e-01,4.268026644342132747e-01,8.182567497734625217e-01
1.500819718204069659e+03,1.338026481767827590e+03,9.355057194899613933e+02,-8.058243883628887216e-01,4.680616548511406377e-02,-5.903018194044099554e-01
9.548023097031767747e+02,7.317807715611859294e+02,1.675835988618521242e+03,-3.300563917466814989e-01,7.761294010862891390e-01,5.372950130390186096e-01
5.520980966613901728e+02,9.056858650928007819e+02,7.059567318887893634e+02,-6.512683326489681068e-01,6.904717194463558805e-01,3.147989255595164959e-01
1.438648245018083117e+03,8.259836582276691388e+02,1.812846538328677298e+03,-4.289633895164409599e-02,-7.679291851621434795e-01,-6.390967615946367975e-01
8.529071453698846881e+02,1.268759737267677565e+03,1.045812402056690644e+03,9.853650932445228161e-01,8.834384549539135364e-03,-1.702280431211136147e-01
1.418788787450425389e+03,1.048691193530394457e+03,1.392320927033937778e+03,-1.687904304834032532e-01,-3.764362064690864873e-01,9.109366460058518911e-01
6.177053697275943023e+02,1.185189374646745819e+03,4.702408145149286156e+02,3.460054535857505220e-01,-1.244512131335793054e-01,9.299419990722537221e-01
9.446479925768045405e+02,1.682953429796794580e+03,2.622212846958278192e+02,-8.990817220866667014e-01,2.128868281670485141e-01,-3.825326854043291647e-01
9.716504574177932909e+02,2.737522375949017714e+02,6.870730594087166310e+02,-2.916816426571829379e-01,8.897286888446659381e-01,-3.511476606551141022e-01
8.298035451465040069e+02,8.962413150054467224e+02,1.549800751628034277e+03,-7.974069696518666372e-01,-1.129262356990006766e-01,5.927814015650969548e-01
1.556427203087793259e+03,1.774577903705469680e+03,1.349837539733575341e+03,7.414977975985630465e-01,-2.983795914743436195e-01,6.009580979969271208e-01
1.751343449740166534e+03,5.531261449022683792e+02,9.515289988484885271e+02,-1.644830182904525873e-01,-7.878306127953579319e-01,5.935219138638047065e-01
1.317496517908291025e+03,1.385041400196709276e+02,7.141412567057578826e+02,-7.009893628785663910e-01,3.422931540486812141e-01,6.256591003274125651e-01
1.456322566294267517e+03,1.642455216613119092e+03,1.521030239960566178e+03,-1.477279440952495582e-01,8.090395616123205458e-02,-9.857134494420030091e-01
1.109990062254453420e+02,1.082884264190439353e+03,1.215541502887734396e+03,7.041354502131497162e-01,-2.695686601600303933e-01,6.569063899922507055e-01
4.608613488204389341e+02,1.318316794141121818e+03,2.649479776334970893e+02,-7.433798954065141684e-01,-3.779628774731666474e-01,-5.518427261073612922e-01
1.564460302647556546e+03,1.713951252223520214e+03,6.734840900569638222e+01,2.901234098340536582e-01,-9.547594848478960783e-01,6.528960988734722193e-02
5.485171863888424468e+02,3.382021267307666790e+02,1.753401860363270544e+03,1.860426266373975956e-01,5.437526887071594262e-01,8.183649275216973162e-01
1.438464283384673081e+03,1.690690317527946945e+03,3.365506107344886573e+02,3.355417152353806776e-01,-8.823563466363286700e-01,3.299379258095221368e-01
