x,y,z,nx,ny,nz
1.500000000000000000e+03,1.500000000000000000e+03,1.500000000000000000e+03,9.786429897123302135e-01,1.608455423058569866e-01,-1.280101957159925086e-01
1.305967177854830652e+03,1.261103406262467161e+03,9.910044630116224198e+02,-5.907209196543287133e-01,-5.496535978049220672e-01,-5.907027319243149943e-01
8.004818253085999231e+02,1.863401498307884594e+03,1.587426282831117305e+03,-6.800662617360105910e-01,-5.816024649157749277e-02,-7.308401093101328794e-01
2.356005443450020266e+03,2.561925877918466540e+03,1.482710512145783468e+03,6.324307786155961564e-01,3.458494726423229082e-01,6.931229707149360042e-01
1.958595131606343216e+02,1.284366982792168301e+03,2.895927469818377062e+02,-5.469471792528477483e-01,-3.805391389859712481e-01,-7.456800565974450734e-01
3.208370529299489249e+02,6.609186212116791239e+02,1.049478855009897870e+03,2.979614430015474213e-01,9.524013827616449879e-01,-6.442503083539952158e-02
1.449209506655254927e+03,1.515710160055647293e+03,1.160677953355678028e+03,-7.092614650538985321e-01,-3.899440416083833072e-01,5.872749088831541453e-01
2.102257039821468879e+03,2.893653240267765341e+03,1.500025083510650120e+03,-3.412993807119978906e-01,5.259384107090595561e-01,7.790401278922898243e-01
1.282637889888330164e+03,1.310241789080396984e+03,2.329677554991300894e+03,9.556268371645492143e-01,-2.858438724357678096e-01,7.120834699531264356e-02
2.462847668250743993e+02,1.099027205025061221e+03,2.552551512013505089e+03,9.679615694883926258e-01,1.670716306585704747e-01,-1.874499139040983753e-01
2.014331122108640102e+02,2.981556034263818674e+03,2.911740940131520802e+03,-6.414916835340565004e-01,-4.773553291387903075e-01,6.005167022651736186e-01
1.523793111111559710e+03,1.497472050302331581e+03,1.447934957814218706e+03,4.856857686415383402e-01,6.004976238339367750e-02,8.720684377827099265e-01
1.512001318137457929e+03,9.706239526040965302e+02,7.792342582414111121e+02,4.800439686349058377e-01,-8.475743011714362840e-01,-2.262202293584752166e-01
1.137631700824912286e+03,3.905201008365188642e+01,2.392214817097780724e+03,-7.702121192288077234e-01,-4.405078713221250442e-01,-4.612224048073976235e-01
1.986606057804977354e+03,1.162570277619844546e+03,1.491221396203537779e+03,-5.835690615607930232e-01,7.940296495329647319e-01,-1.701883252506255495e-01
2.918732069624474661e+03,3.383286457142144172e+02,9.397755852891407358e+02,-2.914722010750504452e-02,-3.991905367591088161e-01,-9.164045803693798842e-01
6.439072391998608964e+02,1.250260320586011403e+03,1.931525802444584997e+03,4.534489591858426039e-01,8.307100371983955345e-01,3.229626534308827068e-01
2.400661180996327175e+02,3.000000000000000000e+03,2.921691946176213150e+03,-2.790516638349514467e-01,4.972123040951530459e-01,8.215291191231960388e-01
6.474192049754851723e+02,2.421633428158266270e+03,2.394661754658175141e+03,7.859978090692388841e-01,-6.085303832313896377e-01,1.090789476600069197e-01
2.647879168263103224e+02,3.000000000000000000e+03,2.935880209391190419e+03,5.618371519080581078e-02,7.378863481528726842e-01,-6.725824316446096240e-01
1.467798500984577458e+03,1.643723340271129928e+03,2.098561859371644459e+03,3.339000483768934102e-01,7.937650156758090381e-01,-5.083776721917385721e-01
8.221777576081610732e+02,3.075011819877271435e+01,1.888079168488746518e+03,3.502293012298173802e-01,8.423312284155779484e-01,-4.096553895605150597e-01
