x,y,z,nx,ny,nz
5.000000000000000000e+02,5.000000000000000000e+02,5.000000000000000000e+02,-2.159454115343286407e-01,-9.715125045899397627e-01,9.762700785464951958e-02
5.386618823203355078e+02,4.687349710014349284e+02,4.937445396174398979e+02,6.914771825141172168e-02,4.058088413382773818e-01,9.113384537877836644e-01
5.310957600348202732e+02,4.482241309106613585e+02,4.867408250707850357e+02,-3.304232514587238101e-03,8.510908575745730620e-02,9.963661603893516627e-01
5.385886267620527406e+02,4.947843982561348071e+02,5.428442264337797951e+02,1.823179448621842225e-02,1.816518030194956002e-01,9.831938893878352514e-01
4.812791058223924097e+02,4.810738697793544247e+02,5.526432835058450337e+02,-3.691795335021162607e-03,9.262029277183503329e-01,-3.770073040846299572e-01
4.846549262357411862e+02,4.269263334934813656e+02,4.822427985104586128e+02,4.966289746832296776e-04,9.722611537090626310e-01,-2.338974184294985992e-01
6.176354970758770833e+02,6.120957227224214421e+02,6.169339968747568719e+02,-1.914239410722012036e-01,-4.191747201856311777e-01,8.874961570292483337e-01
5.278937511203614577e+02,5.514326469105656088e+02,5.188250424684176778e+02,5.873476842648372998e-01,-1.127729903612829376e-01,-8.014392992820522643e-01
5.350270390218712464e+02,4.771406205787869794e+02,5.459750848887830443e+02,-4.700284973947085302e-04,-2.560203678035021246e-01,-9.666712731549289561e-01
6.531083254653984795e+02,2.532916025397821045e+02,4.663107728563063006e+02,4.652276341124761960e-01,7.226964344475369506e-01,-5.111488159967945144e-01
6.563295894652734432e+02,1.381829513486138126e+02,1.965823616800535092e+02,4.162828834054856375e-01,-8.705034392302209989e-01,-2.625496586780718400e-01
8.379449074988039001e+02,9.609840789396307059e+01,9.764594650133957430e+02,9.874123312956195608e-01,-1.452098459913015172e-01,-6.269759670459684742e-02
7.057953815707259082e+02,2.464966398537871157e+02,4.600752258727973754e+02,1.547793971369079181e-02,-5.530811170314985370e-01,-8.329836201063075540e-01
5.086575510815127927e+02,4.930958853354599682e+02,5.748841536519253168e+02,-7.559885300401393282e-01,-3.282111142182914110e-01,-5.663557247449142462e-01
6.929337813858031723e+02,1.780556286809728590e+02,2.158151800810641134e+02,1.499428371851987442e-02,-3.199264911048091964e-01,9.473237101145167705e-01
4.775544501871389684e+02,5.239599128274538771e+02,4.703595427835451233e+02,4.169776942126371400e-02,2.856976866642947921e-01,9.574122037346095571e-01
5.696184059233066819e+02,7.037372792899162732e+02,2.884764370485286804e+02,3.801710019623003034e-02,-9.903296266376279133e-01,-1.334238760359119091e-01
5.450236185500481270e+02,4.606913789625735944e+02,5.485169719890543547e+02,9.713127896104860326e-02,-8.470711652812767944e-02,-9.916603345182669615e-01
5.159455334669801232e+02,5.523823483904131990e+02,5.788599317634927957e+02,-5.232535919982436168e-01,-4.272845068131682078e-01,-7.373151488328197889e-01
4.487408319358696644e+02,4.512731235032362633e+02,5.322325061362175802e+02,1.753089005189243377e-01,9.118654802780543633e-01,-3.711713017948977122e-01
4.422939552451742884e+02,4.733167362401533751e+02,4.796357164599872362e+02,-1.373322383130132218e-02,8.106876163936197477e-01,-5.853178514185525261e-01
5.158602327127931630e+02,5.251305014792345673e+02,4.921406139909708486e+02,7.235012398944412094e-03,9.746996449706134547e-01,2.234015592822648777e-01
5.229452534910284385e+02,4.646530398809807139e+02,4.950120129717589634e+02,3.965316526576636299e-06,-2.261270065986812072e-01,-9.740978271564907365e-01
4.942863612298575617e+02,4.904227565979459769e+02,4.707725367026062031e+02,-5.627791132493853063e-05,-5.820459917159878094e-01,-8.131558647394415695e-01
6.150519601719057619e+02,2.482319305734840782e+02,4.328768321664942960e+02,6.582231347027198698e-01,6.146270914134975838e-01,-4.347135188175186293e-01
1.999965248964000750e+02,1.852179446061397172e+01,7.936977033574206644e+02,-4.701564450904775483e-01,6.885365681571684604e-01,-5.521506238792397436e-01
5.264277808545596145e+02,4.511764073186820383e+02,4.897450909561981121e+02,1.145312993974467692e-08,-9.666651412311179081e-01,2.560439507752972355e-01
4.954254678635882101e+02,5.268874557197932518e+02,5.210089648273236662e+02,-2.871212642068223242e-01,-1.740321426363625745e-01,-9.419523305187332829e-01
4.751759164813425969e+02,4.066021537972122246e+02,5.442994211426779430e+02,1.295607496181073060e-04,2.784600266300358770e-02,-9.996122164868256332e-01
5.641833271396623672e+01,4.878377043589642312e+02,8.810045622016748439e+02,-2.243278330418868038e-01,-2.045298634976293051e-01,9.528087731860850340e-01
7.442907237581966911e+02,1.390759406218260779e+02,2.205447009063997257e+02,1.301708382206481903e-03,9.160792792468700485e-01,4.009950868649426181e-01
4.808381356328083598e+02,4.750435988369738425e+02,5.432809580030600500e+02,1.582120640075849322e-02,1.708951361442293260e-01,9.851621906418607244e-01
7.314147096404885815e+02,1.662944975813450696e+02,1.832817244134234329e+02,-1.637985599310745055e-01,3.156409868000464858e-01,-9.346340456116495332e-01
4.518682866974696708e+02,4.107830231105249368e+02,5.979674752656932242e+02,-6.241697021297149678e-02,2.779170764577681627e-02,-9.976631409526788286e-01
4.942894370521474912e+02,5.310471751500574555e+02,4.993084105147233345e+02,6.583962240173854563e-02,-9.966448163463011989e-01,4.862359686452871754e-02
5.023575669322636372e+02,3.640245621221288843e+02,5.405663861796551828e+02,9.544518574798610544e-02,2.771887718377321827e-02,-9.950486824096614891e-01
7.439053985477845572e+02,9.318707383421781287e+01,2.492753230864539375e+02,-1.187185339341850435e-04,3.157758886564847045e-01,-9.488337968522817523e-01
7.877575337089422192e+02,1.572529607325942607e+02,2.384083283838047009e+02,-1.164006137433793858e-01,9.098528587438099446e-01,3.982695978302654982e-01
4.844263932162718334e+02,4.491372685404326148e+02,5.474090186069528272e+02,1.555014312750273298e-01,2.529060787153061263e-01,9.549124673080069403e-01
4.314962970506635429e+02,5.122853672388328050e+02,5.252885923921248832e+02,1.249422215492627464e-03,-6.567002478921681874e-01,-7.541506635696160199e-01
4.802719894374700402e+02,4.923391700358614003e+02,5.217980296479046274e+02,-9.234727493618497912e-06,-8.976424425153507469e-01,4.407244550848013476e-01
6.192419004724262095e+02,2.775307489747982572e+02,4.479003178905796858e+02,1.218231789315787628e-01,-3.680524048536252812e-01,-9.217898569394586961e-01
9.806996740240192594e+02,4.061204929813110311e+02,5.692107600936254812e+02,2.296895981467408920e-01,-9.216321033476162494e-01,-3.127889937038026424e-01
5.144696844287212798e+02,4.867775841755278066e+02,5.046676093979917255e+02,3.891928659102297707e-03,9.970481634702947904e-01,7.667993617514790028e-02
4.739682167895822431e+02,4.896245037933084632e+02,4.727585170672242612e+02,-7.939629895155128972e-03,1.685595689231096650e-01,9.856594919147197986e-01
7.375635880765597676e+02,1.425692384365119096e+02,2.746503319605078559e+02,2.280762701288767286e-05,-9.918246282023360783e-01,-1.276084102679359567e-01
5.537432042119794318e+01,3.015986344809425077e+02,2.621181492396782460e+02,-4.054660773242994565e-01,-9.098915653070493992e-01,-8.771886639904070970e-02
4.344033061941946698e+02,4.505054306550975411e+02,4.334406203315362518e+02,1.247219386162855530e-03,-6.565787827119782261e-01,-7.542564196188586978e-01
5.320845368331704321e+02,3.838825831775461097e+02,4.783282739245726134e+02,-1.315940095845755629e-02,9.721770868022070466e-01,-2.338771944059285512e-01
6.673927889537427518e+02,1.622597738255029469e+02,1.742647255074061263e+02,9.331626828479753222e-01,2.108189342920750720e-01,2.911404889120077222e-01
