q,Iq,Sq
4.999999999999999237e-03,3.156256847926054077e+11,8.208073981636781014e+01
5.456883573256368636e-03,1.715667600282127686e+11,4.463935669984253707e+01
5.955515666415033167e-03,7.635149523683261108e+10,1.987746641744088194e+01
6.499711122066230418e-03,2.714151713225938416e+10,7.071217792643933464e+00
7.093633370582979464e-03,1.372084529940145874e+10,3.577927324610548965e+00
7.741826282927494196e-03,2.042413802545752716e+10,5.331135134913217222e+00
8.449248934062283597e-03,3.074833676521498489e+10,8.035272346638040020e+00
9.221313542927671650e-03,3.323103291464008713e+10,8.696158190110038433e+00
1.006392687924969644e-02,2.549673110974076462e+10,6.683225866285567918e+00
1.098353545396617455e-02,1.334951619474801445e+10,3.505941930727198841e+00
1.198717483900538401e-02,4.759562530267080307e+09,1.252638399851759399e+00
1.308252349374410331e-02,3.077349155794480324e+09,8.120192807227942788e-01
1.427796150995053540e-02,5.197759618365237236e+09,1.376550693700721251e+00
1.558263472464714930e-02,5.926056214567833900e+09,1.575925648176520921e+00
1.700652469139626172e-02,3.715169396745590210e+09,9.927955798926841879e-01
1.856052504533180214e-02,1.614310414545073032e+09,4.341136724492182242e-01
2.025652484617690777e-02,1.944542035373241901e+09,5.267776128338633734e-01
2.210749953687243113e-02,2.438986935728369236e+09,6.656121688022879068e-01
2.412761021370639011e-02,1.767759971524772644e+09,4.864852618071816015e-01
2.633231196742138666e-02,1.955350795112268448e+09,5.446810476189571926e-01
2.873847212417676017e-02,2.067798417538542509e+09,5.840405700613248152e-01
3.136449929098122924e-02,1.681379194475280046e+09,4.841958374846838109e-01
3.423048419287328531e-02,1.905936842298297882e+09,5.579136590311388755e-01
3.735835337934038936e-02,1.791861483037128925e+09,5.364422026535988763e-01
4.077203697592580306e-02,1.749766112088233948e+09,5.395820864706502018e-01
4.449765176442616044e-02,1.906192126165466309e+09,6.026787781330816829e-01
4.856370099235583077e-02,2.130525456028611660e+09,7.028893745039137553e-01
5.300129244034411380e-02,2.071125442673054218e+09,7.190638240230289302e-01
5.784437641581412909e-02,2.300733112918629646e+09,8.331383451425997677e-01
6.313000549374281345e-02,2.127665860163541317e+09,8.405623852315431410e-01
6.889861799167786016e-02,2.096519839136014223e+09,8.899858226288568375e-01
7.519434734777050156e-02,2.287543311480406761e+09,1.056301099104667962e+00
8.206535976875645177e-02,2.068927751948595762e+09,1.075915199228765662e+00
