q_nm^-1,I(q)_perVol,I_self_perVol,I_pair_perVol,I_pair0_perVol,I_pair2_perVol,Seff,Snn(q),O2(q),<|F|^2>,A0(q),A2(q),I0(q),I2(q)
1.000000000000000048e-04,1.233720851576501758e+02,1.233699264689405197e+02,2.158688709655217589e-03,2.158688709639429437e-03,1.578834058434251242e-14,1.000017497689845936e+00,6.845902217623580555e+01,4.739028600034639002e-04,3.855310202154391445e+06,9.999999999999460432e-01,1.041111343487349126e-06,1.677568255545893335e+05,1.178499729920902350e+00
1.047370897959449686e-04,1.233720726266368501e+02,1.233699140019396481e+02,2.158624697205509084e-03,2.158624697191097001e-03,1.441191905810793632e-14,1.000017497172748016e+00,6.845702178722619635e+01,3.943425524840103095e-04,3.855309812560614198e+06,9.999999999999343858e-01,1.142084382547416146e-06,1.677518509952301683e+05,9.806494765516471368e-01
1.096985797892384082e-04,1.233720588802960378e+02,1.233699003258181506e+02,2.158554477891149424e-03,2.158554477877988077e-03,1.316114256563146683e-14,1.000017496605510647e+00,6.845482743369240097e+01,3.282799866936397760e-04,3.855309385181817226e+06,9.999999999999217293e-01,1.252850377259844499e-06,1.677463940856708796e+05,8.163653531317874856e-01
1.148951000187308635e-04,1.233720438007589024e+02,1.233698853233088784e+02,2.158477450025939916e-03,2.158477450013914379e-03,1.202570676503325297e-14,1.000017495983273053e+00,6.845242031294120011e+01,2.734389684178908887e-04,3.855308916353402659e+06,9.999999999999054090e-01,1.374359106829853868e-06,1.677404080674494326e+05,6.799869290258748755e-01
1.203377840777589337e-04,1.233720272587250122e+02,1.233698688657713802e+02,2.158392953627929524e-03,2.158392953616933112e-03,1.099638181468653457e-14,1.000017495300704162e+00,6.844977980053681677e+01,2.279284781305858138e-04,3.855308402055355720e+06,9.999999999998863132e-01,1.507652464173766607e-06,1.677338416518017184e+05,5.668116244671203008e-01
1.260382929679727457e-04,1.233720091123537372e+02,1.233698508120889556e+02,2.158300264777622719e-03,2.158300264767557854e-03,1.006495064812787714e-14,1.000017494551955544e+00,6.844688327399539673e+01,1.901776212207310305e-04,3.855307837877780199e+06,9.999999999998634426e-01,1.653873393383835414e-06,1.677266385812257067e+05,4.729329450427731119e-01
1.320088400831418048e-04,1.233719892060482550e+02,1.233698310074588278e+02,2.158198589431451625e-03,2.158198589422227667e-03,9.224159402960014077e-15,1.000017493730612994e+00,6.844370591945570936e+01,1.588815765407772631e-04,3.855307218983088620e+06,9.999999999998353539e-01,1.814275686448259827e-06,1.677187371487109340e+05,3.951060667609065935e-01
1.382622173764656490e-04,1.233719673691211085e+02,1.233698092820644661e+02,2.158087056638211421e-03,2.158087056629743802e-03,8.467680410479028186e-15,1.000017492829641252e+00,6.844022051969284348e+01,1.329566849356667697e-04,3.855306540064514615e+06,9.999999999998019362e-01,1.990234736640040782e-06,1.677100696705716837e+05,3.306361503847360384e-01
1.448118227674532956e-04,1.233719434143309002e+02,1.233697854496197976e+02,2.157964711101057875e-03,2.157964711093267665e-03,7.790088214086487893e-15,1.000017491841322714e+00,6.843639722168066442e+01,1.115031335238325270e-04,3.855305795300618745e+06,9.999999999997619682e-01,2.183259330897369979e-06,1.677005619084224454e+05,2.772855448523995903e-01
1.516716888470922469e-04,1.233719171362768066e+02,1.233697593057717796e+02,2.157830505022452147e-03,2.157830505015265188e-03,7.186849489105776972e-15,1.000017490757193483e+00,6.843220328174636791e+01,9.377395253042657586e-05,3.855304978305368219e+06,9.999999999997132294e-01,2.395004587885785295e-06,1.676901324354290846e+05,2.331966887262834076e-01
1.588565129428052810e-04,1.233718883096373560e+02,1.233697306263481863e+02,2.157683289163381257e-03,2.157683289156726858e-03,6.654328010100846164e-15,1.000017489567969431e+00,6.842760278617099345e+01,7.914925839113621641e-05,3.855304082073381171e+06,9.999999999996547206e-01,2.627286149517973640e-06,1.676786919414995064e+05,1.968280580469844721e-01
1.663816886076129118e-04,1.233718566872384912e+02,1.233696991654354491e+02,2.157521803041459636e-03,2.157521803035269709e-03,6.189806223114695982e-15,1.000017488263468479e+00,6.842255634488017790e+01,6.711485710735742719e-05,3.855303098919857759e+06,9.999999999995846656e-01,2.882095750616287985e-06,1.676661424715548928e+05,1.669009572428462596e-01
1.742633386009650781e-04,1.233718219979343900e+02,1.233696646532702061e+02,2.157344664185963448e-03,2.157344664180172074e-03,5.791525404452944386e-15,1.000017486832522895e+00,6.841702075566406904e+01,5.724447163570989348e-05,3.855302020414694212e+06,9.999999999995002886e-01,3.161618296364071089e-06,1.676523765905131586e+05,1.423553222735472745e-01
1.825183494319042592e-04,1.233717839442825266e+02,1.233696267939261730e+02,2.157150356359651029e-03,2.157150356354192288e-03,5.458746936530991626e-15,1.000017485262883588e+00,6.841094863610904042e+01,4.918498158525019028e-05,3.855300837310193107e+06,9.999999999993987032e-01,3.468250597408976457e-06,1.676372764679783431e+05,1.223130147683814811e-01
1.911644075385701799e-04,1.233717421999935340e+02,1.233695852627768801e+02,2.156937216648993280e-03,2.156937216643801253e-03,5.191837839807876048e-15,1.000017483541117969e+00,6.840428802016755583e+01,4.264416695262058577e-05,3.855299539461777546e+06,9.999999999992764677e-01,3.804621923421716501e-06,1.676207128749920521e+05,1.060473431960252122e-01
2.002200371815584547e-04,1.233716964071332711e+02,1.233695397037119506e+02,2.156703421315353530e-03,2.156703421310360996e-03,4.992384434303978627e-15,1.000017481652492934e+00,6.839698191600747634e+01,3.738053360406672602e-05,3.855298115740998648e+06,9.999999999991290300e-01,4.173616546635556598e-06,1.676025440844948462e+05,9.295776091406127151e-02
2.097046401323232709e-04,1.233716461730544154e+02,1.233694897260841259e+02,2.156446970289468360e-03,2.156446970284605063e-03,4.863338901387474651e-15,1.000017479580851631e+00,6.838896782146450448e+01,3.319486966824244380e-05,3.855296553940129001e+06,9.999999999989521715e-01,4.578398475043789640e-06,1.675826146663554828e+05,8.254886864050015038e-02
2.196385372416547008e-04,1.233715910670296836e+02,1.233694349013594973e+02,2.156165670180800430e-03,2.156165670175991343e-03,4.809204545918107975e-15,1.000017477308475344e+00,6.838017719308470532e+01,2.992324139019897532e-05,3.855294840667484328e+06,9.999999999987387866e-01,5.022438582110490324e-06,1.675607541669878410e+05,7.441299657159633485e-02
2.300430119772916963e-04,1.233715306165588288e+02,1.233693747594431613e+02,2.155857115661665747e-03,2.155857115656829338e-03,4.836266827834987588e-15,1.000017474815932728e+00,6.837053486437814342e+01,2.743118635522275589e-05,3.855292961232598871e+06,9.999999999984825472e-01,5.509544370875098700e-06,1.675367756626664777e+05,6.821576411419771890e-02
2.409403560239524325e-04,1.233714643033179073e+02,1.233693087846488368e+02,2.155518669072972737e-03,2.155518669068019668e-03,4.952878718752072104e-15,1.000017472081916603e+00,6.835995840849862759e+01,2.560890301676723701e-05,3.855290899520276114e+06,9.999999999981736831e-01,6.043892620455584055e-06,1.675104741746412183e+05,6.368411722311650980e-02
2.523539170434766117e-04,1.233713915587151035e+02,1.233692364112770150e+02,2.155147438084504489e-03,2.155147438079334579e-03,5.169810752204396216e-15,1.000017469083061439e+00,6.834835744012724490e+01,2.436726956462827797e-05,3.855288637852407061e+06,9.999999999978019805e-01,6.630065201925791479e-06,1.674816249330637220e+05,6.059642813848886700e-02
2.643081486974105496e-04,1.233713117590160380e+02,1.233691570187648097e+02,2.154740251227995479e-03,2.154740251222494671e-03,5.500678281357861928e-15,1.000017465793747062e+00,6.833563285088104067e+01,2.363455351866000553e-05,3.855286156836400274e+06,9.999999999973553377e-01,7.273088368549772692e-06,1.674499814756051637e+05,5.877431281663575424e-02
