q,I_avg,P_avg,S_eff
1.000000000000000021e-02,2.723454622937816620e+10,3.815343054486257490e+06,7.138164469209269214e+01
2.000000000000000042e-02,8.791776775718730927e+09,3.697901578692479990e+06,2.377504265223674906e+01
2.999999999999999889e-02,1.006175059279872537e+09,3.510177246824168600e+06,2.866450861392281446e+00
4.000000000000000083e-02,5.026579516524227858e+08,3.263413407997214235e+06,1.540282792307666737e+00
5.000000000000000278e-02,4.705216153628905416e+08,2.971894132226801943e+06,1.583238145197099378e+00
6.000000000000000472e-02,2.523282304031448364e+08,2.651687901936556678e+06,9.515759008398642083e-01
6.999999999999999278e-02,2.370076319865633845e+08,2.319288982155997306e+06,1.021897804930899545e+00
8.000000000000000167e-02,2.245267865762878954e+08,1.990301873718651477e+06,1.128104181285752627e+00
8.999999999999999667e-02,1.684248911927598119e+08,1.678302754374606535e+06,1.003542958824021669e+00
9.999999999999999167e-02,1.287566211459381133e+08,1.393984361303044949e+06,9.236590073763898401e-01
1.100000000000000006e-01,1.025806977772196978e+08,1.144651624645463889e+06,8.961739586836502403e-01
1.199999999999999956e-01,8.138778198231106997e+07,9.340902235754491994e+05,8.713053613898266159e-01
1.300000000000000044e-01,6.927803165087917447e+07,7.627853649842025479e+05,9.082244472835938609e-01
1.400000000000000133e-01,6.091712834064888954e+07,6.284293764189842623e+05,9.693551992711816334e-01
1.500000000000000222e-01,5.336867542067055404e+07,5.266288575316949282e+05,1.013402031761212019e+00
1.600000000000000033e-01,4.721311265425885469e+07,4.517080328511318075e+05,1.045213040739055410e+00
1.700000000000000122e-01,4.113695214854203165e+07,3.975053541826886940e+05,1.034877938515413875e+00
1.800000000000000211e-01,3.565527979079044610e+07,3.580739774619097007e+05,9.957517729582371357e-01
1.900000000000000022e-01,3.168954109274238348e+07,3.282203962324528256e+05,9.654957905266545737e-01
2.000000000000000111e-01,2.917366475793169811e+07,3.038449943066049600e+05,9.601495928707989291e-01
2.100000000000000200e-01,2.802070672466103360e+07,2.820788823306967388e+05,9.933642140502670914e-01
2.200000000000000011e-01,2.637646939555060863e+07,2.612387007597325428e+05,1.009669291680089787e+00
2.300000000000000100e-01,2.386739214983554184e+07,2.406416295082780416e+05,9.918230772707806731e-01
2.400000000000000189e-01,2.193132376247659698e+07,2.203345359976890904e+05,9.953647830636326299e-01
2.500000000000000000e-01,2.034066805210398510e+07,2.007934686880631198e+05,1.013014426465416618e+00
2.600000000000000089e-01,1.826995494190403447e+07,1.826434947404101549e+05,1.000306907610971185e+00
2.700000000000000178e-01,1.616628044874364696e+07,1.664363002093085670e+05,9.713193833564612856e-01
2.800000000000000266e-01,1.476361467058541253e+07,1.525068495529985521e+05,9.680623994173338520e-01
2.900000000000000355e-01,1.373595565826756880e+07,1.409137565815055859e+05,9.747774803180828673e-01
2.999999999999999889e-01,1.279894648601153865e+07,1.314535515404762118e+05,9.736478273902383629e-01
3.099999999999999978e-01,1.206026402197632380e+07,1.237287215419255372e+05,9.747343924417498640e-01
3.200000000000000067e-01,1.153598262709843181e+07,1.172442822486004297e+05,9.839270969852468296e-01
3.300000000000000155e-01,1.101801819945332594e+07,1.115077308227346221e+05,9.880945579431457126e-01
3.400000000000000244e-01,1.043048150993952528e+07,1.061116769062365347e+05,9.829720737667930752e-01
3.500000000000000333e-01,9.978198083229541779e+06,1.007857736806014000e+05,9.900403319670185720e-01
3.600000000000000422e-01,9.603183696766128764e+06,9.541301579479481734e+04,1.006485710232630781e+00
3.699999999999999956e-01,9.043266325008880347e+06,9.001333826888735348e+04,1.004658476057724403e+00
3.800000000000000044e-01,8.419394097345050424e+06,8.470339764796852251e+04,9.939854044977587400e-01
3.900000000000000133e-01,7.983718548881838098e+06,7.964464789695196669e+04,1.002417458008170614e+00
4.000000000000000222e-01,7.518910417063502595e+06,7.499216018280854041e+04,1.002626194356135203e+00
