x,y,z,nx,ny,nz
9.260910924395001587e+01,1.407702148980419565e+02,1.748494238897175990e+02,5.286017844733288396e-01,7.048786227318649678e-01,-4.729971254302096639e-01
2.423196555055745094e+01,6.667401864277346135e+01,6.542079943135917119e+01,-8.734837147302344507e-01,2.340978158842315360e-01,4.268775148649819884e-01
3.163039034150850881e+01,1.697962633387184894e+02,8.925418872051029240e+00,-8.529199828362751257e-01,4.456271800469299160e-01,2.719263122244505171e-01
3.443870440986086834e+01,5.382298870288617110e+01,1.451225883825324274e+02,-2.455596396756598854e-01,4.812516760871657362e-01,8.414851677977776001e-01
1.798939908034888902e+02,1.708338798413334985e+02,3.767378877714907048e+01,4.100603702699666120e-01,-2.404464382828663260e-01,-8.797931592420696889e-01
2.924946513468712794e+01,5.797716799810898181e+01,1.979606361568445152e+02,-2.878785791621426005e-01,-8.345441194785632177e-01,-4.697467789153382256e-01
1.376180668201627952e+02,1.556900425278011539e+02,1.935144466967862229e+02,9.764774997282967828e-01,2.151358612246867530e-01,1.443099918531190809e-02
5.139277742187256592e+01,1.580477826560275219e+02,6.360308811066961887e+00,6.320569205851584993e-01,-7.520438315242325977e-01,-1.869067270184733565e-01
4.547864548675080698e+01,1.169593061442994930e+01,1.723044146805938581e+01,1.540235883307792819e-01,9.264054868190035874e-01,3.435834807253628220e-01
1.201798726626902862e+02,1.526897908936777881e+01,1.164426099439924229e+02,-6.356536592208313907e-01,-1.816586305987914762e-01,-7.502963197604921586e-01
2.512024799663067043e+01,1.018788370230867883e+02,1.312428716116627072e+02,8.615074981758185091e-01,3.511638749420893379e-01,-3.667270967906500201e-01
1.329715168061038355e+02,1.323662984520794907e+02,1.341292497498467817e+01,7.039715840241018707e-01,-2.582911884019119531e-01,-6.615963050671649359e-01
3.555316759356134071e+01,1.714048650209433049e+02,7.390151684164857215e+01,8.252574553805995805e-01,-1.400198710017543369e-01,-5.471239055839087762e-01
1.458302045675907834e+02,1.408765081405107651e+02,1.794423982516690899e+02,2.532749589710199811e-01,-6.656166521083228815e-01,7.020016150923984455e-01
6.451676157280479629e+01,1.999751865766079675e+02,6.844412480483256900e+01,2.362026481474862882e-01,-7.123417247591667945e-01,6.608915010599321072e-01
4.369970335882756629e+00,1.884798267228212580e+02,7.684052384810173919e+01,-7.487520075275274634e-01,6.546739462534199028e-01,-1.037904394367409333e-01
1.761331329773656762e+02,1.027436508898153562e+02,1.892144531444172060e+02,-7.974011865151781064e-01,1.382308091491940838e-01,5.874041122976118023e-01
1.716715898731978882e+02,7.084238321883179879e+01,1.721227371507671933e+02,9.502800683270108406e-01,-3.009148410252532324e-01,8.011273425091887390e-02
1.491560834717912485e+02,1.859521468211503645e+02,4.683366355374216994e+01,4.819645135181468976e-01,-3.555274311753745531e-01,-8.008186145370593811e-01
1.181999294860129446e+01,1.225098211825284835e+02,1.413195570471166889e+02,-6.893220093570950890e-01,-6.890103429040908001e-01,-2.238301024998297362e-01
1.948735198222775011e+02,1.998900239783148720e+02,7.758559687945214556e+00,3.695093605901713651e-01,-4.743245881417276766e-01,-7.990488204849708342e-01
1.085919091994206411e+02,1.672050879623478181e+02,1.810961624866525099e+01,-1.786389120244057105e-02,-8.020283622699502235e-01,-5.970187497086578698e-01
1.143595812351395438e+02,2.090657427043903027e+01,1.621284533686580289e+02,4.434215984918051801e-01,-5.070505276739413203e-01,-7.391055732265519040e-01
1.577814411061343378e+02,1.334696771484509839e+02,9.937482174871003338e+01,5.940804857679694573e-01,5.789583094116922402e-01,-5.584582816924186233e-01
1.924329427800709595e+02,8.460615683353591265e+00,4.072632955826125567e+01,-8.739278198441771117e-01,-4.431689145165353394e-01,1.996283519609361179e-01
1.695163486765164151e+01,1.850193159419447397e+02,1.128331139665244791e+02,1.571143119979815372e-01,7.103290402061639419e-01,-6.861105942945285863e-01
4.912608167699489314e+01,1.117143327072507191e+02,1.831136054442268062e+02,4.866589353518913086e-02,3.397970959919595635e-01,9.392388217912697179e-01
1.274765458538770133e+02,1.665037420738712513e+02,9.143064213021427022e+00,5.764785415233537186e-02,-1.311722900232576150e-01,-9.896820475484465751e-01
1.251993673760169941e+02,1.167068418159479961e+02,8.481770910088040694e+01,5.985473965108491917e-02,-4.417861913708432953e-01,8.951214282170578684e-01
9.286574206292627309e+01,1.409146949653245429e+02,1.223310211814973911e+02,7.851625733779101779e-01,2.555769800907157774e-01,-5.640923156827146734e-01
1.205061012107089198e+02,3.450285443288538545e+01,1.619900615885178468e+02,-1.747370420598136354e-01,2.587647456485181463e-01,-9.500040908015315866e-01
4.453039032821018850e+01,1.147624045906025430e+02,9.223191553520153718e+01,-3.677902695115353726e-01,5.600068625018979063e-01,7.423763409493951970e-01
1.448739532405462853e+02,1.808493929239346016e+02,1.810015689772741041e+02,9.092775795617186185e-01,-6.290212447029299749e-03,4.161426636764776199e-01
9.755590648313551583e+01,9.411478531602655551e+01,1.067599258801933217e+02,2.134189873701298479e-01,-8.819216771708032754e-01,-4.203171316567362314e-01
8.725768285487006892e+01,1.256547200644193296e+01,3.405792793254764916e+01,2.625501951466037709e-01,9.616153795038595575e-01,-7.977002524838902597e-02
8.753755723647937970e+00,1.953839517483449981e+02,1.439932499355158484e+02,-1.185519297315974357e-01,2.713034808790347197e-01,-9.551648345797878470e-01
1.865686559259301021e+02,1.947320752236456087e+02,7.154063798928261519e+01,1.309845851201494049e-01,-9.843428146483781394e-01,1.179502509917250280e-01
1.012960552737088591e+02,1.376808557933207169e+02,5.437767694517921413e+00,-9.697437161447020060e-01,1.266670292312052637e-01,-2.086925698284550212e-01
6.329918357982088395e+01,1.899725959550352741e+02,1.193435716744735942e+02,-2.536114000827967008e-01,-6.052541664641214458e-01,-7.545519542906673482e-01
7.104569793520430210e+01,1.951851947267577430e+02,1.044134888005887092e+02,-8.619242912105500309e-01,-3.395394875456687056e-01,3.765626808599275566e-01
4.042053064854201949e+01,1.244796908993512830e+02,1.539780084428527687e+02,2.987340724396224667e-01,-7.962528150764762724e-01,5.260602707337107553e-01
1.762317675492513729e+02,6.126779218825146955e+01,1.387379186803209166e+02,-5.431497354600053340e-01,7.699621332097190685e-01,3.348830815237831549e-01
7.890757637916595968e+01,5.396589078904117542e+01,1.193124560209355991e+02,7.514970947444080673e-01,-4.477192882219253600e-01,-4.845611989653801910e-01
4.084885226801374358e+01,7.845299986859743058e+01,6.758090191221904774e+01,6.815281868067818438e-01,-6.227118002028495525e-01,3.843817691748487864e-01
1.141355383228513887e+02,6.327922749362507204e+01,5.003043434513789833e+01,-7.553212016954818919e-01,-2.496537467947842204e-01,6.059396743724734247e-01
1.031998477361587163e+02,1.408016693502827366e+02,1.102068328942458209e+02,-8.752926789762820459e-01,-1.700543590847268249e-01,4.527076772982827069e-01
6.583071294285717556e+01,2.112674854423987370e+01,7.454995355983842842e+01,2.011276634391779075e-02,1.915550931679544100e-01,-9.812757629277365501e-01
1.598648665111749665e+02,1.912322355280930708e+02,1.407383797281236752e+02,7.430239376294028864e-01,4.618904709759180105e-01,-4.843269772884243873e-01
6.686068454589334920e+01,3.752539000982063300e+01,1.297932012097064387e+02,8.037971041550411311e-01,1.545999251906068905e-01,-5.744641664029436212e-01
4.553196521592236934e+01,8.003478975925653049e-01,4.847235913424536591e+01,-4.811654606754423025e-01,-8.667774937148152725e-01,-1.310594362892373299e-01
1.075882000632099675e+02,9.169010458722847545e+01,2.885894644765038564e+01,-9.931946360224648274e-01,-9.262008273624756927e-02,7.061115526695879718e-02
3.889915008344054570e+01,1.523063282568152772e+02,4.695975548643552600e+01,3.142206578786748694e-01,-7.773809280498205077e-01,5.449259315399591630e-01
5.606959093433895447e+01,1.996923061503201211e+02,1.769078164991682343e+02,3.105074440258701052e-01,-8.201238363903707862e-01,4.806058886310712319e-01
1.585849142012287700e+02,1.368460618482446911e+01,1.515395759621864613e+02,7.105104313492351109e-02,8.383930182101497763e-01,5.404154848668889510e-01
1.310090697080344171e+02,7.455051666018378853e+01,1.641893522484942025e+02,-3.718657392167541015e-02,-6.596748945330929148e-01,-7.506305297819430011e-01
5.721211219185175167e+01,3.797423769668558435e+01,1.638550177545529607e+02,8.869766020617562141e-01,-3.219499039420767317e-01,3.310902697825298113e-01
1.962754588883177007e+02,1.107222677839552745e+02,9.964985114214982787e+01,-3.573135962445749825e-01,6.572306069161457653e-01,-6.636075069417191052e-01
1.608633762117525734e+01,1.286886474588029898e+02,5.779887734161041735e+00,7.578474211377451697e-01,-6.336178887886972921e-01,1.555495332034889655e-01
1.544965843620002204e+02,3.875366411723333471e+01,7.677856183674245472e+01,9.685154123381072289e-01,3.522055207914492891e-02,2.464496069641547715e-01
4.760250385349620927e+01,5.599341952940366696e+01,1.411014031405706817e+02,7.563786597931491107e-01,5.656254506516432690e-01,3.285714116940868790e-01
5.637738030055361094e+01,1.809279164563785116e+02,7.440372643730823654e+01,2.815438671861239181e-02,2.912864531246873723e-01,-9.562214872782027753e-01
6.761969630603702797e+01,1.579128634611724920e+02,1.191923437783055704e+02,9.942357320858797864e-01,5.577887101968079936e-02,9.156433033351119022e-02
1.996568009106762247e+02,1.461639683987824014e+02,9.235915800744680837e+01,-4.346933276859731021e-02,-2.833355294842384575e-01,9.580351741134242038e-01
2.769834686751643105e+01,8.985413653558819647e+01,3.331486079855755378e+01,1.032728926360256677e-01,-6.207488550862320098e-01,7.771779516646878383e-01
1.538541729926489268e+02,8.892062552901271033e+01,1.688972581216430910e+02,6.048697285702984150e-01,-5.377062071740640326e-01,5.873709613385531547e-01
1.204257384243363127e+01,1.851879203524446282e+01,1.861384485873295347e+01,-2.904703013628400221e-01,-4.415713094407242578e-01,-8.489062272730629743e-01
6.836838436291106547e+00,1.525344357238667214e+02,7.842790380145949314e+01,-8.784681503831678340e-01,4.064550282311489293e-01,-2.511732843795128067e-01
1.042114437419479032e+02,9.921129432065727372e+01,1.858370005209253577e+02,6.124358515435361916e-01,-7.760861636602770508e-01,-1.503748460255817654e-01
1.584923833398930526e+02,1.925348788907034603e+01,1.378338052697366436e+02,-1.484036086602779358e-01,1.796607488331567470e-01,-9.724702485234787419e-01
1.685433888953859594e+02,1.922616509295926335e+02,1.594350986216945500e+02,7.360265765570048746e-01,5.012019166559468220e-01,4.550401271758136024e-01
5.183892630448447392e+01,1.306251938086651023e+02,1.890361065792984050e+02,8.574244911430430049e-02,-3.625683976322250368e-01,9.280045201701777602e-01
1.782670280912726923e+02,9.868363277556139224e+01,5.806965031154148704e+01,2.453609151128973986e-01,8.269954122482445769e-01,-5.058424749398939824e-01
1.159522919331249824e+02,6.561336584692368490e+01,1.711680425914096304e+02,-9.927199837314574227e-01,-8.337681212127552588e-02,-8.692146512058193664e-02
1.856519910198152274e+02,1.174935475916244698e+01,1.478349657993502149e+02,3.084299368318403345e-01,5.266050794123763312e-01,7.921856249648764337e-01
3.982998427310974421e+01,1.884225796738036252e+00,1.175629971568606891e+02,-8.137055890625302101e-01,-4.608627406770015589e-01,-3.542439111432738041e-01
1.059161064837871749e+02,3.570071491076048886e+01,8.074513759758607989e+01,5.214894101363726220e-01,2.783158104003367606e-01,8.065910393717634630e-01
1.920980031171222606e+02,2.789513720506689509e+01,2.805957034782841930e+01,6.165893828979298608e-01,7.633163676463341485e-01,-1.927839614147303926e-01
1.067728168881265134e+02,1.031989517438148880e+02,1.591167074366280474e+02,-1.935263004935522946e-01,-9.783445552234945053e-01,-7.341322959673000914e-02
1.403742561626239933e+02,7.457628675263765672e+01,4.733120011839661601e+01,1.518102554519218106e-01,-5.889567094786035684e-01,-7.937780802577996120e-01
9.662658886678437398e+01,3.851044531594293119e+01,1.170078763274006093e+02,-2.921980141678525156e-01,3.295814910476085186e-02,9.557897681613627405e-01
9.936730939769679694e+00,1.796350762774670500e+02,1.035327188161395497e+02,5.102569867096503620e-01,1.164823715579703794e-01,-8.520972154796767617e-01
7.185382309301050441e+01,8.135290650114087896e+01,4.025272272776486915e+00,4.184904185693026357e-01,-8.147220422884633440e-01,-4.013648756094701509e-01
1.776546399840368622e+02,1.204031584970874889e+02,1.646031931157903330e+02,9.856078389578165622e-01,1.615259075340506334e-01,4.986550890348819681e-02
9.926611298738231426e+01,1.294202824959976112e+02,8.595996431583050423e+01,9.105847808945075617e-01,2.938849812025604025e-01,2.906320261514074299e-01
1.557430176598743685e+02,7.620161810872080821e+01,1.800903808307967324e+02,-5.150277653157856461e-01,8.367359293942273624e-01,-1.860628533926282635e-01
1.558180437497374555e+02,8.317946082991389289e+01,1.399949379573507002e+01,-8.552573959096561040e-01,1.623255656222064580e-01,-4.921231527628671110e-01
1.596175274561291246e+02,1.994141928059281099e+02,1.027271920808149730e+01,1.325210633775185110e-01,-9.165535043691739325e-01,-3.773166328004612380e-01
1.311051274305755499e+02,1.417679008038666097e+02,1.060158428600834952e+02,-9.742794944387883627e-01,-1.622460411620083309e-01,1.563831475618616407e-01
8.206748295275650662e+01,1.612680923410284777e+02,1.572143842819309043e+02,-1.207633412891478825e-01,-9.782460340759329132e-01,-1.686739820286155545e-01
1.938392751540185088e+01,1.334930063079605134e+02,1.377745040156637799e+02,5.879747979168464117e-02,-8.194893729464044485e-01,-5.700701921658904991e-01
1.497953929126604748e+02,6.436647756884391924e+01,1.479234741474670045e+02,8.595360809101176836e-01,-4.784539879332503354e-01,1.796649855771694781e-01
4.394068927339178998e+01,3.229754939588945462e+01,2.131662821039753908e+01,8.970323741822628927e-01,4.401021563570772233e-01,4.053407994247697904e-02
1.363066754921032384e+02,1.132668933097889408e+02,7.113236170589118501e+01,-6.143411198490471570e-01,5.970069687511854184e-01,5.159143996082488082e-01
8.006756740923169957e+01,7.671743009116767098e+01,1.615381679446832663e+01,2.332428268451204323e-01,8.159942739279775203e-01,5.289150486042629717e-01
1.533621717379615745e+02,2.652040976703844777e+01,1.124285641225862094e+02,-1.798271565109863246e-01,-5.954933363991824491e-01,7.829750188118032028e-01
3.944185464804463237e+01,1.469803941226114148e+02,1.843000552137294221e+02,-1.530546715179684214e-01,-9.801698399278524487e-01,-1.258624345082154372e-01
1.628737934888597749e+02,4.263436680923010869e+01,6.494865522424549908e+01,4.309721984878348566e-01,3.915153641840868337e-01,-8.130059555356062839e-01
5.801697818778683313e+01,1.054139797543253536e+02,8.149010645906918171e+01,2.505808318316101735e-01,8.667837251917077657e-01,-4.311556800731776162e-01
8.715825326206744705e+01,3.927558822651227644e+01,6.565254924230072220e+01,-2.249994843944816691e-01,-6.016453043166107850e-01,-7.664190497462793905e-01
1.921377076684214273e+02,3.800119399817301513e+01,1.229611757694229937e+02,3.308058897447648250e-01,-7.540665091712698276e-01,-5.674074048286907868e-01
