r_nm,g(r),H0(r)=g-1,H2(r)=g*C2,count_pairs
2.500000000000000000e-01,1.591549430918953476e+02,1.581549430918953476e+02,-4.314283161555418644e+01,4.000000000000000000e+00
7.500000000000000000e-01,8.399844218738920176e+01,8.299844218738920176e+01,2.485053670143889448e+00,1.900000000000000000e+01
1.250000000000000000e+00,7.639437268410976856e+01,7.539437268410976856e+01,5.907791239776884140e+00,4.800000000000000000e+01
1.750000000000000000e+00,9.744180189299716233e+01,9.644180189299716233e+01,-3.306174431738255481e-02,1.200000000000000000e+02
2.250000000000000000e+00,8.105112842642819260e+01,8.005112842642819260e+01,4.167107248042665191e+00,1.650000000000000000e+02
2.750000000000000000e+00,8.418112692463886049e+01,8.318112692463886049e+01,-3.353067919885224679e+00,2.560000000000000000e+02
3.250000000000000000e+00,7.769398109515600481e+01,7.669398109515600481e+01,1.112713564319432358e+00,3.300000000000000000e+02
3.750000000000000000e+00,6.755243140122668422e+01,6.655243140122668422e+01,1.021614914582877232e+00,3.820000000000000000e+02
4.250000000000000000e+00,6.250548803090007510e+01,6.150548803090007510e+01,7.589345132570611829e-01,4.540000000000000000e+02
4.750000000000000000e+00,5.687254199128670962e+01,5.587254199128670962e+01,1.551157205982776899e-01,5.160000000000000000e+02
5.250000000000000000e+00,5.467567772884839883e+01,5.367567772884839883e+01,3.731745394706568741e-01,6.060000000000000000e+02
5.750000000000000000e+00,4.836324593955043127e+01,4.736324593955043127e+01,-4.111796623904687698e-01,6.430000000000000000e+02
6.250000000000000000e+00,4.520000383809826872e+01,4.420000383809826872e+01,-1.236442078799403932e+00,7.100000000000000000e+02
6.750000000000000000e+00,4.322726849409503558e+01,4.222726849409503558e+01,3.741434638371932131e-01,7.920000000000000000e+02
7.250000000000000000e+00,3.676081771177249635e+01,3.576081771177249635e+01,1.037487855039124440e+00,7.770000000000000000e+02
7.750000000000000000e+00,3.246032137982464860e+01,3.146032137982464860e+01,3.632871272770233362e-01,7.840000000000000000e+02
8.250000000000000000e+00,2.999683385639258049e+01,2.899683385639258049e+01,-9.479113046858298475e-01,8.210000000000000000e+02
8.750000000000000000e+00,2.556223269659625075e+01,2.456223269659625075e+01,-2.675137140417752080e-01,7.870000000000000000e+02
9.250000000000000000e+00,2.275718050419175142e+01,2.175718050419175142e+01,2.069652183243902155e-01,7.830000000000000000e+02
9.750000000000000000e+00,1.969817096452945648e+01,1.869817096452945648e+01,-6.791962268236241551e-02,7.530000000000000000e+02
1.025000000000000000e+01,1.531428438138850368e+01,1.431428438138850368e+01,-5.566069350964272244e-01,6.470000000000000000e+02
1.075000000000000000e+01,1.377219626538845709e+01,1.277219626538845709e+01,-1.261363528501800030e-02,6.400000000000000000e+02
1.125000000000000000e+01,1.072822208989813042e+01,9.728222089898130420e+00,1.584943870694290879e-01,5.460000000000000000e+02
