x,y,z,nx,ny,nz
1.865310487237344432e+02,1.032318501544258567e+02,1.726815501802490758e+02,2.356113356803386100e-02,-9.396298764179987772e-01,3.413803865568227347e-01
1.812445015822874552e+02,1.041337700101138353e+00,2.450874300973366715e+01,1.655124018042490874e-01,-9.691458383163946699e-01,-1.826526455351841216e-01
1.749896124023104278e+02,1.909732014159588687e+02,3.619331823268300496e+01,9.112910384935116737e-01,3.651599637366106932e-01,1.902809608008495801e-01
3.969353602148720483e+01,9.616163338197832644e+00,9.190976801196084978e+01,-2.265466066130290557e-01,-7.615774051498074293e-01,6.071873607012976404e-01
8.314223176209665667e+00,8.028187605415837425e-02,1.385816250163496193e+02,-6.812553837021126379e-02,-8.373774834545240076e-01,-5.423632189069769183e-01
9.608823522540990325e+01,1.843934834270843339e+02,7.850434330175325215e+01,-6.488870196938452406e-02,3.080393397806546751e-01,-9.491581646397119210e-01
9.432196148326758589e+01,1.140017711614564178e+02,8.241211925938678462e+01,-8.303631887455823479e-01,1.442017448411235803e-01,5.382404960229618673e-01
1.512122734519431901e+02,1.180904614817487897e+01,7.805099479474688451e+01,-3.926895416923653070e-01,-9.144054410388767762e-01,-9.827315626322938313e-02
1.227183395422691774e+02,1.052993570776157952e+02,1.791091422617905380e+02,-6.579477464740485226e-01,-7.268631208392655196e-01,1.969130937025891093e-01
7.704072975067883533e+01,3.291080119395670067e+01,1.774887344065150216e+02,4.491822260778203790e-01,-7.773605443672729765e-01,-4.403929062039839692e-01
1.695657934692679589e+02,9.903254913210645327e+01,5.166456375510784937e+01,5.875240184380314812e-01,-7.947650265222917509e-01,1.521975044915266362e-01
1.204144108608905128e+02,9.537204589059188109e+00,1.283061382332394942e+02,-1.907221953153403204e-01,-9.242447622467433455e-01,-3.307516646542504879e-01
8.611938200163771739e+01,1.306248280832035960e+02,1.663946040480740862e+01,5.416615315532383734e-01,5.957853026988271239e-01,5.929946528607719092e-01
5.673998217119364540e+01,1.647987059731125612e+02,1.241186442748851348e+01,-7.002050337284261572e-02,-7.528498665548306601e-01,-6.544571854092422480e-01
9.831842127030171241e+01,1.814633465275523463e+02,9.976931634657562142e+01,-3.797259785928119857e-01,-1.352071223537412714e-01,9.151651300418695012e-01
1.258865886391625111e+02,2.765553136064777462e+01,6.838246818192628496e+01,1.516237943071541659e-02,7.457209113332886607e-01,6.660858988510780510e-01
1.078530299509829007e+02,7.233984600962507727e+01,1.386310013751754298e+02,-1.003316006533939153e-01,8.705372278847638423e-01,-4.817660270038127135e-01
8.408547715955485558e+01,1.833390305120338439e+02,1.959063186311099685e+02,9.719996347223484046e-01,1.960169026609290543e-01,1.295919903730059775e-01
1.238384237883185364e+02,1.621167511113932278e+02,6.082097590757329186e+01,-4.186579819284250159e-01,-5.026038583896205170e-01,-7.563827441827877252e-01
1.659705391333187379e+02,1.474265134996035158e+02,9.953522869363085590e+01,6.145057746185430547e-01,6.834401827585907530e-01,3.940712747072137034e-01
6.354562542807764913e+01,1.564643992904061065e+02,1.550448322788748783e+02,5.398422145537209449e-01,2.065151887654479712e-01,8.160403545125117786e-01
2.379433136799051329e+00,1.025091614592340363e+02,1.894176292916128546e+02,-9.945196864354198807e-01,4.977946967425766339e-02,9.193801003580592823e-02
7.118077518881941046e+01,6.600414269520740618e+01,1.860763367078860142e+02,8.083578099639709968e-02,4.214007561879576924e-01,9.032646230163783319e-01
1.372216497910834789e+02,4.149956243075256879e+01,7.873964713056017217e+01,-3.036837283384378749e-01,8.806502532132027827e-01,3.636362532201480868e-01
1.323347640824829625e+02,1.147357445000726699e+02,2.594785756541863364e+01,4.001062068579730457e-01,-9.096584134135086153e-01,-1.115194787368707779e-01
1.963674773813678343e+01,2.780337246307536248e+01,1.456046029040393819e+02,6.556642735401002620e-01,5.980766797505920884e-01,4.608781243882598688e-01
1.521669445005654779e+02,1.272803623086192317e+02,7.270297780325263659e+01,-9.555777837371144390e-01,2.797930017037048023e-01,-9.266593453742993924e-02
8.190771655545957231e+01,6.556753346811011340e+01,1.781374657354048168e+02,4.077324573512043360e-01,-3.658981667924243730e-01,8.365839914547084089e-01
3.293749611287941548e+01,3.567097527940616430e+01,1.068754667715270017e+02,3.790861775579609239e-01,-4.488300336620002495e-01,8.092251051873402545e-01
1.113342308280732595e+01,2.496499801074712366e+01,5.700922842282824377e+01,-2.146172631296451860e-01,9.762534923445584933e-01,-2.947115623442318061e-02
2.630565326468096643e+01,6.304854245283728176e+01,3.509060616056856041e+00,6.599530518003576818e-01,-6.720756765356982187e-01,3.358217599061708025e-01
1.279624420867123007e+02,1.255649948490211898e+02,1.398668880730773001e+00,6.068983173602016112e-01,-7.694497062895125916e-01,-1.990517065346051051e-01
1.715139009487054693e+02,1.668371232016228589e+01,6.825353378402033400e+01,-1.733441749504054663e-01,9.654141893584530232e-01,1.947491719985592895e-01
1.680894246775572185e+02,3.323211806609254637e+01,6.569339495355096403e+01,-4.831422396250136253e-01,-6.178296135451003535e-01,-6.203709736237166261e-01
5.275442637584501426e+01,4.556471116873274241e+01,3.341620028248303242e+01,-9.225107059993468972e-02,9.953919684366900889e-01,-2.616427226003130435e-02
3.152882467343616568e+01,1.074600156537821647e+02,2.821392905264703543e+01,6.298252608400836117e-01,-5.982997040664858046e-01,-4.953358506303336961e-01
