r,g(r)
2.500000000000000000e-01,0.000000000000000000e+00
7.500000000000000000e-01,0.000000000000000000e+00
1.250000000000000000e+00,0.000000000000000000e+00
1.750000000000000000e+00,0.000000000000000000e+00
2.250000000000000000e+00,0.000000000000000000e+00
2.750000000000000000e+00,0.000000000000000000e+00
3.250000000000000000e+00,0.000000000000000000e+00
3.750000000000000000e+00,0.000000000000000000e+00
4.250000000000000000e+00,0.000000000000000000e+00
4.750000000000000000e+00,0.000000000000000000e+00
5.250000000000000000e+00,0.000000000000000000e+00
5.750000000000000000e+00,0.000000000000000000e+00
6.250000000000000000e+00,0.000000000000000000e+00
6.750000000000000000e+00,0.000000000000000000e+00
7.250000000000000000e+00,0.000000000000000000e+00
7.750000000000000000e+00,0.000000000000000000e+00
8.250000000000000000e+00,0.000000000000000000e+00
8.750000000000000000e+00,0.000000000000000000e+00
9.250000000000000000e+00,0.000000000000000000e+00
9.750000000000000000e+00,0.000000000000000000e+00
1.025000000000000000e+01,0.000000000000000000e+00
1.075000000000000000e+01,0.000000000000000000e+00
1.125000000000000000e+01,0.000000000000000000e+00
1.175000000000000000e+01,0.000000000000000000e+00
1.225000000000000000e+01,0.000000000000000000e+00
1.275000000000000000e+01,6.265043377476917641e+01
1.325000000000000000e+01,5.076038052100278009e+01
1.375000000000000000e+01,4.713623700209473100e+01
1.425000000000000000e+01,5.642588052170566471e+01
1.475000000000000000e+01,6.436906162582936020e+01
1.525000000000000000e+01,4.379469591349872104e+01
1.575000000000000000e+01,3.592614100025297574e+01
1.625000000000000000e+01,4.821355170975663640e+01
1.675000000000000000e+01,4.084047247739736974e+01
1.725000000000000000e+01,5.562177792738296489e+01
1.775000000000000000e+01,5.253249642387849150e+01
1.825000000000000000e+01,2.675809901369859034e+01
1.875000000000000000e+01,5.070022363486761918e+01
1.925000000000000000e+01,2.405039841640505571e+01
1.975000000000000000e+01,5.222430946147199649e+01
2.025000000000000000e+01,7.141111854234989664e+01
2.075000000000000000e+01,7.392526870922154103e+01
2.125000000000000000e+01,4.229251117407799399e+01
2.175000000000000000e+01,6.728410488295716618e+01
2.225000000000000000e+01,2.828944957162785201e+01
2.275000000000000000e+01,5.903928334949701906e+01
2.325000000000000000e+01,4.946144061557889415e+01
2.375000000000000000e+01,5.417240196243552219e+01
2.425000000000000000e+01,4.330133069809244972e+01
2.475000000000000000e+01,3.741256178245063069e+01
2.525000000000000000e+01,4.792745900976684226e+01
2.575000000000000000e+01,4.800450715351867359e+01
2.625000000000000000e+01,4.619323538765849690e+01
2.675000000000000000e+01,5.515839182968204568e+01
2.725000000000000000e+01,6.515511529561590010e+01
2.775000000000000000e+01,5.290812522219475511e+01
2.825000000000000000e+01,6.541023869789067646e+01
2.875000000000000000e+01,5.083202537706659996e+01
2.925000000000000000e+01,3.720384371486785113e+01
2.975000000000000000e+01,3.020961917646743444e+01
3.025000000000000000e+01,5.009010867185042315e+01
3.075000000000000000e+01,5.655351463351733088e+01
3.125000000000000000e+01,5.606208764257556965e+01
3.175000000000000000e+01,4.673211191720357505e+01
3.225000000000000000e+01,5.508768160860403640e+01
3.275000000000000000e+01,6.410218514399691969e+01
3.325000000000000000e+01,5.758225121286626802e+01
3.375000000000000000e+01,4.023992123239371210e+01
3.425000000000000000e+01,4.124438675848785607e+01
3.475000000000000000e+01,5.588160585546633286e+01
3.525000000000000000e+01,5.635692438637291701e+01
3.575000000000000000e+01,4.881429564479851990e+01
3.625000000000000000e+01,4.166349198321663749e+01
3.675000000000000000e+01,5.467851688379542452e+01
3.725000000000000000e+01,4.496215556448711936e+01
3.775000000000000000e+01,3.931176420210311306e+01
3.825000000000000000e+01,5.830635039967364008e+01
3.875000000000000000e+01,5.002794814764940412e+01
3.925000000000000000e+01,4.132329349494764159e+01
3.975000000000000000e+01,5.157154002197163578e+01
4.025000000000000000e+01,5.501369361542799652e+01
4.075000000000000000e+01,3.987060149117985475e+01
4.125000000000000000e+01,4.639258637949754416e+01
4.175000000000000000e+01,4.601850627813654171e+01
4.225000000000000000e+01,4.564903460886998943e+01
4.275000000000000000e+01,5.016091225439695478e+01
4.325000000000000000e+01,5.513381910645419026e+01
4.375000000000000000e+01,4.656368224901109443e+01
4.425000000000000000e+01,5.201983074204176205e+01
4.475000000000000000e+01,5.976506206405320398e+01
4.525000000000000000e+01,5.409881912431357875e+01
4.575000000000000000e+01,3.954002647184879748e+01
4.625000000000000000e+01,5.773699131527244077e+01
4.675000000000000000e+01,4.369220994630135380e+01
4.725000000000000000e+01,5.075659116035807017e+01
4.775000000000000000e+01,5.304970874595535690e+01
4.825000000000000000e+01,4.703379783680019699e+01
4.875000000000000000e+01,4.768118916431687637e+01
4.925000000000000000e+01,5.826622714767017186e+01
4.975000000000000000e+01,5.349998154370162950e+01
5.025000000000000000e+01,5.597026743629700718e+01
5.075000000000000000e+01,5.289544683857857166e+01
5.125000000000000000e+01,4.265810968750059118e+01
5.175000000000000000e+01,4.801836911407462338e+01
5.225000000000000000e+01,5.503211731464209322e+01
5.275000000000000000e+01,5.079078415103577981e+01
5.325000000000000000e+01,4.894340742685490397e+01
5.375000000000000000e+01,5.376626650587779466e+01
5.425000000000000000e+01,4.023374952358470580e+01
5.475000000000000000e+01,4.884686474478117191e+01
5.525000000000000000e+01,5.130358352294776125e+01
5.575000000000000000e+01,5.980952040046125973e+01
5.625000000000000000e+01,4.828847071080706854e+01
5.675000000000000000e+01,4.625529331663952348e+01
5.725000000000000000e+01,5.244331602224613675e+01
5.775000000000000000e+01,4.657611487699651320e+01
5.825000000000000000e+01,5.366011883895028234e+01
5.875000000000000000e+01,4.537293435450153822e+01
5.925000000000000000e+01,5.258947486977905328e+01
5.975000000000000000e+01,4.814659000655827015e+01
6.025000000000000000e+01,5.120900994871569623e+01
6.075000000000000000e+01,4.898954962469158403e+01
6.125000000000000000e+01,5.464134699634228554e+01
6.175000000000000000e+01,5.576353448978878191e+01
6.225000000000000000e+01,4.928563214819664040e+01
6.275000000000000000e+01,4.720991476108451224e+01
6.325000000000000000e+01,4.901257480514467346e+01
6.375000000000000000e+01,4.668031548701983269e+01
6.425000000000000000e+01,4.626503786105924831e+01
6.475000000000000000e+01,5.709344701799857091e+01
6.525000000000000000e+01,4.784834757377054615e+01
6.575000000000000000e+01,4.830147125004913278e+01
6.625000000000000000e+01,4.380394644022316442e+01
6.675000000000000000e+01,4.743660899456568814e+01
6.725000000000000000e+01,4.560774032107673293e+01
6.775000000000000000e+01,4.715616403586955840e+01
6.825000000000000000e+01,4.045428970158771165e+01
6.875000000000000000e+01,4.767998013042339522e+01
6.925000000000000000e+01,5.071098470003635583e+01
6.975000000000000000e+01,4.867800592399722603e+01
7.025000000000000000e+01,4.850354456903000511e+01
7.075000000000000000e+01,4.680295194990989671e+01
